id;ts[s];lat[deg];lon[deg];alt[deg];ivx[m/s];ivy[m/s];ivz[m/s];gvx[rad/s];gvy[rad/s];gvz[rad/s];drone_or_x[rad];drone_or_y[rad];drone_or_z[rad];drone_or_q_x;drone_or_q_y;drone_or_q_z;drone_or_q_w;distance;collision;drone_x[m];drone_y[m];drone_z[m];pressure[Pa];qnh[hPa]
205;1652804977128963072;47.641439882715225;-122.14010233628353;122.09186553955078;-0.0015074138063937426;-0.022900495678186417;2.3290350437164307;0.000759499438572675;-0.003903851844370365;0.0006164844962768257;-1.412373729283214e-10;-1.7592581479134516e-09;0.8722622465947426;-0.0;0.0;0.42243608832359314;0.9063926935195923;0.9240220189094543;False;-0.15095014870166779;-2.2152745723724365;-1.0197488069534302;99855.8515625;1013.25
206;1652804977137963264;47.641439882715225;-122.14010233628353;122.09186553955078;-0.0015074138063937426;-0.022900495678186417;2.3290350437164307;-0.00034433649852871895;-0.001315122121013701;-0.002835072809830308;-1.4123730764994724e-10;-1.6258203566202728e-09;0.87469677332278;-0.0;0.0;0.42243608832359314;0.9063926935195923;1.0219755172729492;False;-0.15095014870166779;-2.2152745723724365;-1.0197488069534302;99857.390625;1013.25
207;1652804977149963520;47.641439882715225;-122.14010233628353;122.09186553955078;-0.0015074294060468674;-0.02290050871670246;2.346245765686035;-0.00025132077280431986;-0.00023566544405184686;-0.0007171474862843752;-1.8831652132957893e-10;-9.001040220834545e-10;0.8770443933716031;-0.0;0.0;0.42243608832359314;0.9063926935195923;1.0219755172729492;False;-0.15095014870166779;-2.2152745723724365;-1.0197488069534302;99857.390625;1013.25
208;1652804977161963776;47.641439882715225;-122.14010233628353;122.09186553955078;-0.0015074294060468674;-0.02290050871670246;2.346245765686035;0.000827411946374923;-0.001151800504885614;-0.0003559660108294338;-1.883165392245669e-10;4.342715325215269e-10;0.8793079721322964;-0.0;0.0;0.42562657594680786;0.9048988819122314;1.210068941116333;False;-0.15245288610458374;-2.237445116043091;-1.0121557712554932;99859.9375;1013.25
209;1652804977170963968;47.641439882715225;-122.14010233628353;122.09186553955078;-0.0015074415132403374;-0.022900519892573357;2.363232135772705;0.0012196662137284875;0.0010882405331358314;0.003078731708228588;-1.4123737922978993e-10;1.1763681201867373e-09;0.8822006643498228;-0.0;0.0;0.4269348978996277;0.9042823314666748;1.210068941116333;False;-0.15311414003372192;-2.2471985816955566;-1.0196589231491089;99859.9375;1013.25
210;1652804977182964224;47.641439882715225;-122.14010233628353;122.09186553955078;-0.0015074415132403374;-0.022900519892573357;2.363232135772705;-0.00015213401638902724;3.7038080336060375e-05;0.0012313788756728172;-1.8831636899022608e-10;2.235678795101229e-09;0.8862843073946881;-0.0;0.0;0.4269348978996277;0.9042823314666748;0.48871487379074097;False;-0.15311414003372192;-2.2471985816955566;-1.0196589231491089;99850.1953125;1013.25
211;1652804977194964480;47.641439882715225;-122.14010233628353;122.09186553955078;-0.0015074411639943719;-0.022900519892573357;2.3799948692321777;-0.0007205629954114556;0.00041545077692717314;-0.004400305915623903;-1.8831646174069776e-10;1.1014593163146075e-09;0.8882171021097635;-0.0;0.0;0.4269348978996277;0.9042823314666748;0.48871487379074097;False;-0.15311414003372192;-2.2471985816955566;-1.0196589231491089;99850.1953125;1013.25
212;1652804977206964736;47.641439882715225;-122.14010233628353;122.09186553955078;-0.0015074411639943719;-0.022900519892573357;2.3799948692321777;-0.002710859989747405;-0.0012939025182276964;-0.0012015908723697066;-1.8831653024340956e-10;-2.329161470701652e-10;0.8900808779949991;-0.0;0.0;0.43049463629722595;0.9025931358337402;1.2771931886672974;False;-0.15511538088321686;-2.276731252670288;-1.0119671821594238;99860.6171875;1013.25
213;1652804977218964992;47.641439882715225;-122.14010233628353;122.09186553955078;-0.0015074411639943719;-0.022900519892573357;2.396536111831665;0.0006545446231029928;-0.000989288091659546;0.0005173558602109551;-1.8831657063254693e-10;-1.5672918305819976e-09;0.8918780736409428;-0.0;0.0;0.43130552768707275;0.9022059440612793;1.2906893491744995;False;-0.15561443567276;-2.2840964794158936;-1.0119178295135498;99861.421875;1013.25
214;1652804977227965184;47.641439882715225;-122.14010233628353;122.09186553955078;-0.0015074411639943719;-0.022900519892573357;2.396536111831665;0.0008585168397985399;0.004278507549315691;0.002832454862073064;-2.6633984748666354e-06;-0.007694960413293302;0.8941744666735519;-0.0;0.0;0.43130552768707275;0.9022059440612793;1.2906893491744995;False;-0.15561443567276;-2.2840964794158936;-1.0119178295135498;99861.421875;1013.25
215;1652804977236965376;47.641439882715225;-122.14010233628353;122.09186553955078;-0.0015074411639943719;-0.022900519892573357;2.4128572940826416;-0.0013922523939982057;0.018751922994852066;0.002301151165738702;-2.447728914646439e-05;-0.05187601817087731;0.8974246174032716;-0.0;0.0;0.43130552768707275;0.9022059440612793;1.2906893491744995;False;-0.15561443567276;-2.2840964794158936;-1.0119178295135498;99861.421875;1013.25
216;1652804977245965568;47.641439882715225;-122.14010233628353;122.09186553955078;-0.0015074411639943719;-0.022900519892573357;2.4128572940826416;0.0024705161340534687;0.15598152577877045;0.0015768107259646058;-8.116008116850401e-05;-0.09011782828104321;0.8994706062935691;0.0196677315980196;-0.04083641991019249;0.43427902460098267;0.8996372818946838;1.01993989944458;False;-0.15336105227470398;-2.3126449584960938;-1.0191752910614014;99857.1015625;1013.25
217;1652804977254965760;47.641439882715225;-122.14010233628353;122.09186553955078;-0.0015074411639943719;-0.022900519892573357;2.428959608078003;0.00209854356944561;0.4402526319026947;-0.003326945938169956;-0.00017235614716285206;-0.11343346739646036;0.9009468599373367;0.025041062384843826;-0.051975347101688385;0.43466252088546753;0.8987435698509216;1.01993989944458;False;-0.15255379676818848;-2.3183553218841553;-1.0189521312713623;99857.1015625;1013.25
218;1652804977263965952;47.641439882715225;-122.14010233628353;122.09186553955078;-0.0015074411639943719;-0.022900519892573357;2.428959608078003;0.0006654561730101705;0.7477877140045166;0.0011460441164672375;-0.0003111773395833318;-0.13192451832746455;0.9023760594617243;0.025041062384843826;-0.051975347101688385;0.43466252088546753;0.8987435698509216;0.8171006441116333;False;-0.15255379676818848;-2.3183553218841553;-1.0189521312713623;99854.5234375;1013.25
