Dron1_X,Dron1_Y,Dron1_Z,Dron4_X,Dron4_Y,Dron4_Z,Dron2_X,Dron2_Y,Dron2_Z,Dron3_X,Dron3_Y,Dron3_Z
-221.17557,701.91925,1396.6045,-96.112854,830.8624,1391.47,-178.49663,688.32605,1396.2758,-264.56015,772.16266,1394.787
-219.71997,699.6842,1395.5171,-94.6897,828.62604,1390.2417,-177.03836,686.0903,1395.2852,-263.11386,769.9182,1393.491
-218.24088,697.472,1394.4381,-93.24621,826.4244,1389.013,-175.55771,683.87585,1394.2825,-261.64417,767.70233,1392.2432
-216.74045,695.28284,1393.3698,-91.784164,824.25995,1387.7932,-174.05661,681.68335,1393.2708,-260.1537,765.5158,1391.0465
-215.22058,693.1159,1392.3146,-90.30495,822.13324,1386.5962,-172.53674,679.512,1392.253,-258.64456,763.35754,1389.9064
-213.68289,690.9688,1391.276,-88.80954,820.0426,1385.4403,-170.99956,677.3601,1391.2327,-257.1186,761.22473,1388.8302
-212.12875,688.8379,1390.2578,-87.298546,817.9839,1384.3488,-169.44629,675.2243,1390.213,-255.5772,759.1124,1387.8276
-210.55927,686.7179,1389.2644,-85.77223,815.95013,1383.3494,-167.87794,673.1,1389.1981,-254.02136,757.01373,1386.911
-208.97531,684.60205,1388.3009,-84.23054,813.93146,1382.4741,-166.2953,670.98114,1388.1923,-252.45181,754.9195,1386.0944
-207.3775,682.48224,1387.3732,-82.673134,811.9148,1381.7583,-164.69894,668.8602,1387.2002,-250.8689,752.81854,1385.3936
-205.76624,680.3485,1386.4874,-81.09945,809.8839,1381.2399,-163.08925,666.72845,1386.227,-249.2727,750.69763,1384.8262
-204.14168,678.1897,1385.6509,-79.50871,807.8197,1380.9575,-161.4664,664.5754,1385.2787,-247.66302,748.54156,1384.41
-202.50381,675.993,1384.8707,-77.899994,805.6999,1380.95,-159.83041,662.3893,1384.3612,-246.0394,746.33325,1384.1638
-200.85242,673.7443,1384.1552,-76.27229,803.49976,1381.2539,-158.18112,660.157,1383.4816,-244.4012,744.0538,1384.1055
-199.1871,671.4283,1383.5122,-74.62455,801.1923,1381.9023,-156.51825,657.8642,1382.647,-242.74757,741.683,1384.2521
-197.50737,669.02826,1382.9503,-72.95569,798.74896,1382.9232,-154.84134,655.4953,1381.8654,-241.0776,739.19934,1384.6187
-195.81255,666.52655,1382.4779,-71.2647,796.14,1384.3373,-153.14989,653.0337,1381.145,-239.39026,736.5806,1385.218
-194.10193,663.90466,1382.103,-69.55064,793.3354,1386.158,-151.44325,650.4617,1380.4943,-237.68448,733.80396,1386.0599
-192.37468,661.1432,1381.8336,-67.8127,790.3055,1388.389,-149.72075,647.76074,1379.9222,-235.9592,730.8462,1387.1506
-190.62994,658.22217,1381.6769,-66.05021,787.0217,1391.025,-147.98161,644.9115,1379.4374,-234.21344,727.6846,1388.4922
-188.86685,655.12115,1381.6398,-64.26272,783.4576,1394.0509,-146.2251,641.89404,1379.0487,-232.44626,724.2967,1390.0826
-187.08453,651.81934,1381.7279,-62.449947,779.58875,1397.4421,-144.45036,638.6876,1378.7644,-230.65685,720.66095,1391.9159
-185.2821,648.2958,1381.946,-60.61183,775.3941,1401.166,-142.6566,635.2713,1378.5928,-228.84448,716.75696,1393.9812
-183.45874,644.5295,1382.2981,-58.74852,770.8558,1405.1823,-140.84302,631.6236,1378.5408,-227.00862,712.5656,1396.264
-181.61366,640.4996,1382.7863,-56.86031,765.9594,1409.4452,-139.00882,627.72284,1378.6151,-225.14882,708.06946,1398.7461
-179.74615,636.18555,1383.4117,-54.94763,760.6945,1413.9047,-137.15324,623.54724,1378.8213,-223.26476,703.25256,1401.4059
-177.85556,631.56744,1384.1743,-53.01096,755.0539,1418.5082,-135.27553,619.0753,1379.1636,-221.35625,698.10095,1404.219
-175.94128,626.62573,1385.0721,-51.050804,749.03394,1423.2019,-133.37497,614.2857,1379.645,-219.4232,692.6025,1407.1588
-174.00284,621.342,1386.1023,-49.067673,742.63434,1427.9325,-131.45087,609.15753,1380.2675,-217.46564,686.74695,1410.1969
-172.03983,615.69867,1387.2603,-47.06208,735.85767,1432.648,-129.50253,603.67096,1381.0312,-215.48364,680.52606,1413.3041
-170.05188,609.6797,1388.5404,-45.034588,728.7091,1437.2987,-127.52934,597.8069,1381.9354,-213.47736,673.9334,1416.4502
-168.03877,603.27014,1389.9358,-42.985775,721.19653,1441.8384,-125.53065,591.54767,1382.9775,-211.447,666.96436,1419.605
-166.00027,596.4568,1391.4386,-40.91624,713.32935,1446.2239,-123.505875,584.87714,1384.1542,-209.39285,659.61615,1422.7389
-163.93628,589.2283,1393.0402,-38.8266,705.1186,1450.416,-121.45448,577.78094,1385.4603,-207.31519,651.88763,1425.8225
-161.84665,581.575,1394.7311,-36.71745,696.5763,1454.3789,-119.37599,570.2467,1386.8903,-205.21434,643.7792,1428.8281
-159.73132,573.4894,1396.5016,-34.58939,687.7152,1458.0803,-117.26997,562.26447,1388.4374,-203.09067,635.2926,1431.7291
-157.59027,564.9661,1398.3416,-32.443016,678.54834,1461.4911,-115.13606,553.8265,1390.0941,-200.94455,626.4311,1434.5007
-155.42348,556.0021,1400.2404,-30.278938,669.08856,1464.5852,-112.97397,544.92786,1391.8524,-198.77637,617.1988,1437.1204
-153.23091,546.5964,1402.1879,-28.097761,659.34845,1467.3392,-110.78348,535.5662,1393.7039,-196.58646,607.60095,1439.5673
-151.01262,536.7505,1404.174,-25.900082,649.3399,1469.7327,-108.564445,525.7421,1395.6398,-194.3752,597.6436,1441.8236
-148.7686,526.4682,1406.1885,-23.686457,639.0735,1471.7476,-106.31682,515.45905,1397.6512,-192.14291,587.3333,1443.8743
-146.49892,515.75543,1408.2222,-21.457376,628.5583,1473.3694,-104.0406,504.723,1399.7291,-189.8899,576.6772,1445.7068
-144.20363,504.62024,1410.2661,-19.213226,617.8013,1474.5873,-101.73592,493.54294,1401.8645,-187.61644,565.68243,1447.3123
-141.88281,493.07272,1412.3119,-16.954268,606.80707,1475.394,-99.40297,481.9303,1404.0485,-185.32278,554.3565,1448.6848
-139.53656,481.12485,1414.3517,-14.680615,595.57776,1475.7878,-97.04203,469.89896,1406.2721,-183.00912,542.7066,1449.8223
-137.16501,468.79022,1416.3789,-12.392231,584.1127,1475.7722,-94.65348,457.46487,1408.5267,-180.67563,530.7402,1450.726
-134.76831,456.08395,1418.3871,-10.088916,572.4086,1475.3564,-92.23777,444.6459,1410.8038,-178.32239,518.4641,1451.4012
-132.34665,443.02246,1420.3711,-7.7703233,560.46,1474.5573,-89.795425,431.46152,1413.0952,-175.9495,505.88553,1451.8569
-129.90025,429.62326,1422.3263,-5.4359665,548.2596,1473.3978,-87.327034,417.9324,1415.3931,-173.55695,493.01126,1452.1056
-127.42936,415.9048,1424.2493,-3.0852325,535.7986,1471.9088,-84.83324,404.08017,1417.69,-171.1447,479.8483,1452.1635
-124.93427,401.88602,1426.1371,-0.7173989,523.0681,1470.1278,-82.31468,389.92703,1419.9788,-168.7127,466.4038,1452.0503
-122.41534,387.58658,1427.988,1.6683418,510.0595,1468.0989,-79.77205,375.4956,1422.253,-166.2608,452.68533,1451.7885
-119.8729,373.0262,1429.801,4.072839,496.76553,1465.872,-77.20603,360.80844,1424.507,-163.78883,438.70108,1451.4033
-117.30739,358.22495,1431.5756,6.4969416,483.18118,1463.5011,-74.61728,345.888,1426.735,-161.29659,424.45996,1450.9219
-114.719215,343.20276,1433.3121,8.941458,469.30463,1461.044,-72.00644,330.75635,1428.9324,-158.7838,409.97205,1450.373
-112.10885,327.97955,1435.0114,11.407116,455.13776,1458.5591,-69.37413,315.43512,1431.0947,-156.25021,395.2485,1449.7859
-109.476746,312.575,1436.6744,13.894537,440.68668,1456.1052,-66.72095,299.94525,1433.218,-153.69559,380.3018,1449.1897
-106.82339,297.00858,1438.3026,16.404222,425.96176,1453.7388,-64.04745,284.30695,1435.2986,-151.11966,365.14575,1448.613
-104.149254,281.2992,1439.8973,18.93655,410.9777,1451.5127,-61.354195,268.53958,1437.3334,-148.52222,349.79556,1448.0825
-101.45483,265.46542,1441.4598,21.491798,395.75287,1449.4745,-58.64172,252.66165,1439.3188,-145.9031,334.26767,1447.6228
-98.74059,249.52524,1442.9911,24.070145,380.3091,1447.665,-55.910545,236.69067,1441.2523,-143.2622,318.57962,1447.2555
-96.00703,233.49594,1444.4917,26.671688,364.6709,1446.1177,-53.161194,220.64325,1443.1305,-140.5995,302.74997,1446.9985
-93.25459,217.39426,1445.9615,29.296463,348.8647,1444.857,-50.39417,204.53497,1444.9504,-137.91501,286.79794,1446.8662
-90.48375,201.23613,1447.4004,31.944431,332.91806,1443.8986,-47.609966,188.38057,1446.7091,-135.20883,270.74332,1446.8685
-87.69494,185.03677,1448.8069,34.61551,316.85922,1443.2485,-44.809063,172.19377,1448.4032,-132.48117,254.60596,1447.0111
-84.88858,168.81055,1450.1792,37.30957,300.716,1442.9043,-41.9919,155.98749,1450.0293,-129.73227,238.40569,1447.2952
