41,1390,539,27,19,1403,548,0.84,646,734,32,14,662,741,0.85,683,781,38,15,702,788,0.87,1351,467,39,23,1370,478,0.87,1200,218,39,34,1219,235,0.92,955,460,49,42,979,481,0.94
42,639,735,32,12,655,741,0.81,1360,469,36,17,1378,477,0.84,1411,536,26,20,1424,546,0.87,683,783,38,14,702,790,0.87,1213,211,40,32,1233,227,0.92,942,456,46,41,965,476,0.94
43,631,737,25,11,643,742,0.6,1366,464,36,22,1384,475,0.86,683,784,39,13,702,790,0.86,1428,532,25,22,1440,543,0.87,1228,201,42,32,1249,217,0.93,927,451,48,43,951,472,0.95
44,621,737,29,12,635,743,0.73,1376,464,38,18,1395,473,0.84,1442,531,31,18,1457,540,0.87,683,785,37,14,701,792,0.88,1242,191,42,32,1263,207,0.93,916,450,46,42,939,471,0.93
45,614,738,28,12,628,744,0.69,1383,460,37,21,1401,470,0.84,1458,527,32,17,1474,535,0.85,683,786,38,15,702,793,0.89,1252,184,42,32,1273,200,0.93,901,446,44,43,923,467,0.94
46,604,739,28,11,618,744,0.73,1390,461,43,16,1411,469,0.83,1473,526,32,17,1489,534,0.83,682,787,38,14,701,794,0.89,886,444,40,41,906,464,0.93,1265,173,44,34,1287,190,0.93
47,595,739,29,11,609,744,0.68,1482,522,36,17,1500,530,0.83,1400,455,36,20,1418,465,0.85,682,790,38,13,701,796,0.89,1279,159,48,36,1303,177,0.93,869,442,42,39,890,461,0.94
48,586,739,29,11,600,744,0.51,1496,518,35,19,1513,527,0.83,1406,454,35,20,1423,464,0.85,682,791,39,16,701,799,0.88,1298,146,46,34,1321,163,0.92,846,441,46,39,869,460,0.94
49,577,739,25,11,589,744,0.66,1509,515,36,18,1527,524,0.82,1412,450,38,19,1431,459,0.84,684,788,39,22,703,799,0.91,825,442,52,35,851,459,0.92,1312,133,50,36,1337,151,0.94
50,566,739,27,12,579,745,0.65,1417,444,37,23,1435,455,0.85,1523,512,34,22,1540,523,0.87,688,789,36,26,706,802,0.89,808,442,52,34,834,459,0.92,1330,116,51,38,1355,135,0.94
51,557,739,27,12,570,745,0.76,1422,440,35,22,1439,451,0.86,1533,505,37,27,1551,518,0.89,689,793,38,22,708,804,0.9,791,442,52,30,817,457,0.93,1348,100,51,40,1373,120,0.93
52,547,740,25,12,559,746,0.76,1425,435,37,25,1443,447,0.88,693,796,37,18,711,805,0.88,1546,502,36,29,1564,516,0.89,772,442,55,31,799,457,0.92,1367,83,50,45,1392,105,0.94
53,536,740,28,13,550,746,0.85,695,800,37,15,713,807,0.85,1425,430,38,27,1444,443,0.88,1558,498,36,29,1576,512,0.89,754,441,56,32,782,457,0.93,1382,70,51,48,1407,94,0.95
54,527,740,25,13,539,746,0.86,699,800,36,17,717,808,0.87,1566,496,40,28,1586,510,0.89,732,444,61,28,762,458,0.91,1424,424,39,30,1443,439,0.91,1396,58,52,47,1422,81,0.95
55,704,803,37,14,722,810,0.86,1577,495,39,22,1596,506,0.86,517,740,28,14,531,747,0.88,1421,421,42,28,1442,435,0.9,716,440,55,34,743,457,0.94,1411,45,52,45,1437,67,0.95
56,505,737,30,17,520,745,0.86,703,803,44,17,725,811,0.86,1587,493,39,22,1606,504,0.88,1419,420,42,24,1440,432,0.89,1426,29,55,45,1453,51,0.94,696,439,57,34,724,456,0.94
57,1593,492,40,21,1613,502,0.88,1416,414,42,26,1437,427,0.88,704,806,48,15,728,813,0.88,496,737,30,19,511,746,0.9,675,438,61,39,705,457,0.95,1443,16,56,43,1471,37,0.95
58,706,806,54,17,733,814,0.86,1602,492,36,15,1620,499,0.86,486,737,31,20,501,747,0.88,1410,411,43,24,1431,423,0.89,1459,2,55,47,1486,25,0.94,656,437,61,39,686,456,0.95
59,720,807,39,16,739,815,0.87,475,735,33,19,491,744,0.87,1608,489,38,16,1627,497,0.88,1403,404,43,27,1424,417,0.91,1473,0,55,39,1500,19,0.94,636,437,59,42,665,458,0.94
60,466,736,27,16,479,744,0.82,1618,485,35,14,1635,492,0.87,723,810,41,16,743,818,0.87,1399,402,41,24,1419,414,0.88,617,437,59,43,646,458,0.94
61,453,734,32,16,469,742,0.85,732,810,36,17,750,818,0.87,1623,481,39,17,1642,489,0.88,1394,397,40,22,1414,408,0.89,599,437,60,42,629,458,0.95
62,441,732,35,18,458,741,0.83,734,812,40,16,754,820,0.87,1624,477,45,21,1646,487,0.87,1387,394,42,21,1408,404,0.88,575,440,60,43,605,461,0.95
63,428,731,37,16,446,739,0.8,1637,473,37,16,1655,481,0.82,739,814,41,17,759,822,0.86,1381,387,41,24,1401,399,0.9,552,440,61,44,582,462,0.95
64,418,729,41,19,438,738,0.8,1641,466,42,18,1662,475,0.87,743,817,40,17,763,825,0.88,1372,382,41,24,1392,394,0.9,533,442,58,43,562,463,0.94
65,1648,458,42,17,1669,466,0.86,749,818,37,16,767,826,0.87,1366,377,40,23,1386,388,0.89,511,444,60,45,541,466,0.94
66,752,820,36,15,770,827,0.84,1653,452,43,15,1674,459,0.87,1358,368,40,24,1378,380,0.91,484,446,60,43,514,467,0.94
67,397,725,37,17,415,733,0.78,1658,445,43,15,1679,452,0.87,755,820,40,16,775,828,0.87,1349,362,42,25,1370,374,0.9,449,451,60,43,479,472,0.94
68,392,723,36,18,410,732,0.79,1665,435,43,16,1686,443,0.86,757,821,40,17,777,829,0.86,1342,357,42,26,1363,370,0.91,422,455,59,41,451,475,0.96
69,370,721,51,22,395,732,0.81,1672,424,44,18,1694,433,0.82,759,820,41,17,779,828,0.87,1334,351,43,28,1355,365,0.92,391,459,61,42,421,480,0.94
70,373,719,42,23,394,730,0.84,1677,411,47,20,1700,421,0.85,763,822,37,14,781,829,0.86,1328,346,43,27,1349,359,0.92,366,464,58,38,395,483,0.95
71,370,716,37,25,388,728,0.83,767,823,37,13,785,829,0.85,1680,397,52,26,1706,410,0.87,1321,340,42,26,1342,353,0.91,340,470,56,37,368,488,0.95
72,366,713,35,26,383,726,0.82,769,824,37,12,787,830,0.84,1689,382,50,29,1714,396,0.91,1310,334,45,28,1332,348,0.93,312,478,54,31,339,493,0.95
73,770,823,40,14,790,830,0.82,359,709,32,26,375,722,0.85,1301,327,42,26,1322,340,0.92,1695,370,54,30,1722,385,0.92,285,484,62,31,316,499,0.93
74,772,824,36,13,790,830,0.83,356,707,34,28,373,721,0.87,1291,319,45,28,1313,333,0.92,260,490,51,30,285,505,0.94,1702,352,56,36,1730,370,0.94
75,772,824,41,14,792,831,0.84,350,702,39,31,369,717,0.89,1281,311,43,28,1302,325,0.93,240,494,47,31,263,509,0.94,1710,335,58,39,1739,354,0.95
76,776,823,39,14,795,830,0.86,345,699,39,31,364,714,0.89,1268,302,44,29,1290,316,0.93,211,500,51,32,236,516,0.93,1718,320,57,43,1746,341,0.95
77,337,697,46,26,360,710,0.87,777,823,41,14,797,830,0.87,1257,296,47,30,1280,311,0.92,1723,306,57,45,1751,328,0.94,188,506,50,33,213,522,0.94
78,334,693,43,25,355,705,0.86,779,823,40,14,799,830,0.87,1248,289,45,29,1270,303,0.92,164,512,54,33,191,528,0.92,1727,295,58,44,1756,317,0.95
79,783,823,38,13,802,829,0.85,327,688,48,25,351,700,0.89,147,519,56,31,175,534,0.92,1235,280,48,30,1259,295,0.92,1730,284,58,40,1759,304,0.94
80,784,823,39,12,803,829,0.85,326,686,45,23,348,697,0.89,1731,271,58,37,1760,289,0.92,1226,273,45,31,1248,288,0.93,134,525,56,30,162,540,0.93
81,786,821,39,15,805,828,0.88,325,682,48,25,349,694,0.9,123,531,55,28,150,545,0.92,1733,260,56,37,1761,278,0.92,1213,264,47,32,1236,280,0.94
82,324,681,49,19,348,690,0.86,789,820,38,15,808,827,0.89,114,537,47,27,137,550,0.91,1731,248,56,38,1759,267,0.93,1207,259,46,32,1230,275,0.93
83,327,676,48,21,351,686,0.85,103,542,57,26,131,555,0.87,789,820,42,15,810,827,0.89,1198,252,53,35,1224,269,0.93,1728,233,55,41,1755,253,0.93
84,100,548,39,21,119,558,0.86,328,670,45,24,350,682,0.88,790,818,44,17,812,826,0.89,1186,246,50,36,1211,264,0.92,1724,218,56,42,1752,239,0.93
85,89,551,45,21,111,561,0.85,793,818,41,16,813,826,0.88,339,664,39,27,358,677,0.89,1177,241,47,35,1200,258,0.92,1720,201,51,45,1745,223,0.94
