id;name;x[m];y[m];z[m];or_x[rad];or_y[rad];or_z[rad];or_q_x;or_q_y;or_q_z;or_q_w
55;znacznik55;3.799999952316284;-5.190000057220459;-1.5899999141693115;0.0;0.0;1.5707961239789638;-0.0;0.0;0.7071067094802856;0.7071067094802856
56;znacznik56;3.799999952316284;-4.690000057220459;-1.5899999141693115;0.0;0.0;1.5707961239789638;-0.0;0.0;0.7071067094802856;0.7071067094802856
57;znacznik57;3.799999952316284;-3.179999828338623;-1.5899999141693115;0.0;0.0;1.5707961239789638;-0.0;0.0;0.7071067094802856;0.7071067094802856
58;znacznik58;3.799999952316284;-5.190000057220459;-0.9399999976158142;0.0;0.0;1.5707961239789638;-0.0;0.0;0.7071067094802856;0.7071067094802856
59;znacznik59;3.799999952316284;-4.690000057220459;-0.9399999976158142;0.0;0.0;1.5707961239789638;-0.0;0.0;0.7071067094802856;0.7071067094802856
60;znacznik60;3.799999952316284;-3.179999828338623;-0.9399999976158142;0.0;0.0;1.5707961239789638;-0.0;0.0;0.7071067094802856;0.7071067094802856
61;znacznik61;3.799999952316284;-2.3899998664855957;-2.3499999046325684;0.0;0.0;1.5707961239789638;-0.0;0.0;0.7071067094802856;0.7071067094802856
62;znacznik62;3.799999952316284;-1.0699999332427979;-2.3499999046325684;0.0;0.0;1.5707961239789638;-0.0;0.0;0.7071067094802856;0.7071067094802856
63;znacznik63;3.799999952316284;-2.3899998664855957;-1.5899999141693115;0.0;0.0;1.5707961239789638;-0.0;0.0;0.7071067094802856;0.7071067094802856
64;znacznik64;3.799999952316284;-1.0699999332427979;-1.5899999141693115;0.0;0.0;1.5707961239789638;-0.0;0.0;0.7071067094802856;0.7071067094802856
65;znacznik65;3.799999952316284;-2.3899998664855957;-0.9399999976158142;0.0;0.0;1.5707961239789638;-0.0;0.0;0.7071067094802856;0.7071067094802856
66;znacznik66;3.799999952316284;-1.0699999332427979;-0.9399999976158142;0.0;0.0;1.5707961239789638;-0.0;0.0;0.7071067094802856;0.7071067094802856
67;znacznik67;3.799999952316284;-0.20999999344348907;-2.3499999046325684;0.0;0.0;1.5707961239789638;-0.0;0.0;0.7071067094802856;0.7071067094802856
68;znacznik68;3.799999952316284;0.38999998569488525;-2.3499999046325684;0.0;0.0;1.5707961239789638;-0.0;0.0;0.7071067094802856;0.7071067094802856
69;znacznik69;3.799999952316284;0.9099999666213989;-2.3499999046325684;0.0;0.0;1.5707961239789638;-0.0;0.0;0.7071067094802856;0.7071067094802856
70;znacznik70;3.799999952316284;-0.20999999344348907;-1.5899999141693115;0.0;0.0;1.5707961239789638;-0.0;0.0;0.7071067094802856;0.7071067094802856
71;znacznik71;3.799999952316284;0.38999998569488525;-1.5899999141693115;0.0;0.0;1.5707961239789638;-0.0;0.0;0.7071067094802856;0.7071067094802856
72;znacznik72;3.799999952316284;0.9099999666213989;-1.5899999141693115;0.0;0.0;1.5707961239789638;-0.0;0.0;0.7071067094802856;0.7071067094802856
73;znacznik73;3.799999952316284;-0.20999999344348907;-0.9399999976158142;0.0;0.0;1.5707961239789638;-0.0;0.0;0.7071067094802856;0.7071067094802856
